solar,hum,rain,press,temp,count
2.235,81.8,0.0,1004.0,5.15,5.0
2.375,83.3,0.0,1004.0,5.205,3.303386127799017
3.247,85.6,0.0,1004.0,5.006,3.3220060290490547
2.914,85.8,0.0,1004.0,4.558,3.258408531583265
3.12,89.1,0.0,1004.0,4.247,3.2753424657534245
3.369,89.3,0.0,1004.0,3.639,3.333516182117389
1.808,87.2,0.0,1003.0,4.319,nan
2.556,85.9,0.0,1003.0,4.883,3.3248320307143837
2.426,88.4,0.0,1003.0,4.865,3.2604765817584225
2.581,87.2,0.0,1003.0,5.094,3.296582138919515
2.618,82.6,0.0,1003.0,5.571,3.243139407244786
3.145,84.3,0.0,1003.0,4.892,3.3211135611907387
3.421,83.5,0.0,1003.0,4.892,3.3342503438789546
4.197,86.2,0.0,1004.0,3.842,3.2930041152263376
6.676,88.9,0.0,1004.0,3.007,3.322651328403177
19.94,86.4,0.0,1004.0,3.693,3.2905442550852118
110.2,82.1,0.0,1004.0,4.931,3.3302274595779666
75.8,79.61,0.0,1004.0,5.826,3.352601156069364
88.0,74.18,0.0,1004.0,6.421,3.3009628610729025
61.67,76.37,0.0,1004.0,6.373,3.2383305875892368
46.65,77.56,0.0,1004.0,6.553,3.283879781420765
20.35,81.4,0.0,1004.0,5.812,3.247603396329773
7.529,85.3,0.0,1004.0,4.665,3.3038009297238173
2.575,82.7,0.0,1004.0,4.875,3.325664201588606
3.363,79.08,0.0,1004.0,5.181,3.265457543281121
1.987,80.8,0.0,1004.0,4.797,3.2759758108851016
3.979,87.2,0.0,1004.0,3.658,3.3039889958734525
2.254,86.3,0.0,1005.0,3.391,3.3441451346893896
3.332,86.9,0.0,1005.0,3.693,3.3467253714914693
1.713,83.3,0.0,1005.0,4.404,3.36061521560011
3.929,84.2,0.0,1005.0,4.27,3.2569387194284145
1.433,79.04,0.0,1005.0,4.703,3.2834107679693907
3.261,78.26,0.0,1005.0,4.863,3.314104333425338
2.863,79.41,0.0,1005.0,4.842,3.286104286104286
3.388,82.0,0.0,1004.0,4.501,3.3094587206123567
2.762,79.37,0.0,1005.0,4.694,3.2963981303271925
2.829,79.75,0.0,1005.0,4.708,3.2991218441273324
2.678,80.8,0.0,1005.0,4.462,3.0
3.818,77.85,0.0,1006.0,4.879,3.3347062053816585
24.93,79.13,0.0,1006.0,4.616,3.295248558088437
47.88,78.93,0.0,1006.0,4.783,3.281550728622491
205.3,76.18,0.0,1006.0,5.582,3.3187294633077764
206.4,72.81,0.0,1006.0,6.576,3.348869277440706
216.3,72.12,0.0,1006.0,6.747,3.2215503023639362
156.7,73.2,0.0,1006.0,6.524,3.3061951754385963
75.26,76.06,0.0,1006.0,6.002,3.2763626403725006
8.07,79.73,0.0,1006.0,4.27,3.374862788144896
3.367,82.6,0.0,1006.0,3.2,3.3430376270255424
4.732,84.8,0.0,1007.0,2.96,3.2555980338612778
2.484,84.9,0.0,1007.0,3.51,3.3222344523940563
2.64,82.5,0.0,1007.0,4.381,3.3020060456169276
2.009,85.9,0.0,1008.0,4.822,3.291494632535095
2.867,85.2,0.0,1007.0,4.946,3.345225027442371
3.533,89.5,0.0,1007.0,3.449,3.3599559350041313
3.671,89.3,0.0,1006.0,3.387,3.2841409691629955
1.591,92.2,0.0,1006.0,3.037,3.2777472527472526
2.933,90.4,0.0,1006.0,3.663,3.341083150984683
3.655,93.0,0.0,1006.0,2.348,3.3096809680968096
2.162,91.4,0.0,1005.0,3.473,3.2972381733661473
2.678,91.5,0.0,1004.0,3.169,3.3516120143290165
3.198,91.1,0.0,1003.0,3.249,3.2974008207934338
2.606,91.8,0.0,1002.0,3.188,3.3208219178082192
6.032,89.0,0.0,1002.0,3.591,3.313838550247117
70.44,86.4,0.0,1001.0,4.149,3.3303204601479046
138.9,83.8,0.0,1000.0,4.93,3.3346132748217223
65.16,82.2,0.0,999.0,5.142,3.2899067471201318
59.52,80.7,0.0,998.0,5.505,3.343852908891328
24.7,87.2,0.4,996.0,5.039,3.359486057955167
12.08,88.2,0.4,995.0,5.011,3.3822805578342905
5.895,92.2,1.0,994.0,4.745,3.37668408028595
3.004,93.6,1.0,995.0,5.044,3.3555372807017543
2.41,92.9,0.2,994.0,5.729,3.333608587943848
2.541,92.4,0.0,995.0,5.827,3.361363011816433
2.706,90.0,0.0,995.0,6.361,3.3874172185430464
2.348,91.1,0.0,995.0,6.44,3.343810311552247
2.82,93.1,0.0,995.0,6.719,3.3786461199779856
2.315,92.1,0.0,995.0,6.8,3.2990628445424477
3.177,91.3,0.0,995.0,7.047,3.3762049022307905
2.921,93.2,0.0,995.0,6.567,3.3186059275521407
2.799,94.1,0.0,994.0,6.368,3.338936346100854
2.626,90.9,0.0,994.0,6.634,3.366886688668867
2.573,90.0,0.0,993.0,6.947,3.353248898678414
4.383,89.8,0.2,992.0,7.499,3.3179812465526752
2.247,94.0,0.0,990.0,7.313,3.3691164327002476
1.698,89.3,0.0,989.0,8.56,3.3823286540049544
2.485,90.8,0.0,989.0,9.08,3.38240970499035
2.982,92.0,0.0,988.0,9.77,3.3401435670900055
27.29,91.0,0.0,987.0,10.84,3.331773127753304
37.24,91.1,0.0,986.0,11.86,3.4023717595146166
40.75,88.7,0.0,985.0,12.77,3.4126764461666204
56.12,89.1,0.0,983.0,13.16,3.3901766004415013
76.33,88.0,0.0,982.0,13.27,3.4074380165289258
20.54,90.5,0.0,981.0,12.73,3.4358480176211454
16.64,87.4,0.0,981.0,12.55,3.444627644957406
3.319,75.44,0.0,981.0,13.25,3.46196099972535
4.248,76.29,0.0,981.0,12.74,3.4284143995603187
4.732,90.3,0.0,984.0,10.99,3.3660886319845855
2.691,82.8,0.0,985.0,11.49,0.0
2.939,90.6,0.0,986.0,10.45,3.404231931849409
2.719,82.6,0.0,987.0,11.02,3.3966418937517204
2.9,84.0,0.0,988.0,10.46,3.337097218397136
3.335,80.9,0.0,989.0,10.11,3.366868798235943
4.445,90.8,0.2,989.0,9.64,3.419630548662807
2.284,87.9,0.0,989.0,9.24,3.3539480949751517
3.947,88.8,0.0,988.0,8.85,3.3262548262548264
2.28,84.7,0.0,987.0,8.6,3.446826051112943
2.443,81.7,0.0,985.0,9.23,3.4003852504127683
3.756,89.7,0.6,984.0,8.64,3.430570801317234
1.95,89.8,0.2,980.0,10.29,3.4288079470198674
